age,gender,familiarity,seen_advertisements,which_kind,impression,ads_description,rate_itc_compared_to_other_brands,ads_effective,buy_itc_products_based_on_advertisements,factors,price_rating,quality_rating,features_rating,brand_value_rating,availability_rating,value_of_money_rating,brand_promotion_rating,experience_with_products_rating,duration_of_use,continue_using_after_increase_in_price,willing_to_recommend,likely_to_make_another_purchase,likely_to_switch_to_another_brand,Unnamed: 24,fam_new,gen_new,rate_new,buy_new,price_new,qualit_new,features_new,brand_value_new,availability_new,value_new,brand_promotions_new,experience_new,duration_new,continue_using_after_increase_in_price_new,willing_to_recommend_new,seen_advertisements_new
20,Female,Purchased it couple of times,No,TV Commercials,Positive,Attention getting,Somewhat better,4,Yes,Quality,Satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,More than 6 years,Yes,Yes,5,1,,3,0,2,2,2,2,2,1,3,2,2,1,3,2,2,1
20,Female,I use it daily,Yes,"TV Commercials, Posters",Positive,"Attention getting, Creative, Emotional",Much better,4,No,"Price, Quality",Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,More than 6 years,Maybe,Yes,2,2,,2,0,1,1,4,2,3,2,3,3,2,2,3,0,2,2
21,Female,I use it daily,Yes,Social Media campaigns,Positive,"Attention getting, Emotional",Somewhat better,4,Maybe,"Quality, Value for money",Neither satisfied nor dis-satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,More than 6 years,Yes,Yes,5,1,,2,0,2,0,1,2,3,2,3,2,2,2,3,2,2,2
19,Male,Generally aware of the brand,Yes,"TV Commercials, Social Media campaigns, YouTube Ads",Positive,Creative,About the same,4,Maybe,"Price, Quality, Value for money",Satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,Les than 1 year,Maybe,Maybe,3,3,,0,1,0,0,2,2,2,2,2,3,4,1,2,0,0,2
21,Male,Purchased it couple of times,Yes,Social Media campaigns,Positive,"Attention getting, Clever, Emotional, Genuine",Much better,4,Maybe,"Price, Quality, Availability, Value for money",Satisfied,Satisfied,Satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Satisfied,Very satisfied,Satisfied,Les than 1 year,Maybe,Yes,3,3,,3,1,1,0,2,1,2,2,1,2,4,1,2,0,2,2
21,Female,Purchased it couple of times,Maybe,TV Commercials,Positive,"Attention getting, Clever, Genuine",Much better,3,No,"Sales person's recommendation, Availability",Satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,More than 6 years,Maybe,Yes,3,4,,3,0,1,1,2,1,2,1,3,3,2,1,3,0,2,0
22,Female,Generally aware of the brand,Maybe,Social Media campaigns,Positive,Boring,Somewhat better,3,Maybe,Value for money,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Les than 1 year,Yes,Yes,5,5,,0,0,2,0,1,0,1,0,1,1,1,0,2,2,2,0
19,Male,I use it daily,Yes,Social Media campaigns,Positive,"Attention getting, Cheerful, Creative, Memorable",Much better,4,Maybe,"Quality, Availability, Value for money",Neither satisfied nor dis-satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,4 years - 6 years,Maybe,Maybe,4,3,,2,1,1,0,1,2,3,2,2,2,2,2,1,0,0,2
20,Male,I use it daily,Yes,"TV Commercials, Back of notebooks ",Positive,Clever,Somewhat better,4,No,"Price, Quality, Features, Brand value, Value for money",Satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,4 years - 6 years,Yes,Maybe,5,3,,2,1,2,1,2,2,2,1,3,2,2,1,1,2,0,2
20,Male,I use it daily,Yes,Social Media campaigns,Positive,"Attention getting, Creative, Honest",Much better,4,Yes,"Price, Features, Brand value",Very satisfied,Neither satisfied nor dis-satisfied,Very satisfied,Satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Satisfied,Neither satisfied nor dis-satisfied,4 years - 6 years,Yes,Yes,4,1,,2,1,1,2,4,0,3,1,3,1,2,0,1,2,2,2
20,Male,Generally aware of the brand,Yes,TV Commercials,Positive,Attention getting,About the same,3,Maybe,"Price, Quality, Brand value",Dis-satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Satisfied,More than 6 years,No,Maybe,3,3,,0,1,0,0,0,2,1,0,1,1,1,1,3,1,0,2
